                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.1357,                 1.2325,                 1.3251,                0.63882,                    0.5,                0.37391,                0.18781,                 2.5216,                 2.8725,                 2.8985,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1899,                 1.1754,                 1.3986,                0.58203,                  0.375,                0.34001,                0.17924,                 2.4458,                 2.5227,                 2.9011,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1288,                 1.1938,                 1.3769,                0.78753,                    0.5,                0.48858,                0.22276,                  2.319,                 2.4109,                 2.7602,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0856,                 1.0984,                 1.3114,                0.88176,                    0.5,                0.51224,                0.23842,                 2.2551,                  2.391,                 2.8211,                0.00101,                0.00101,                0.00101
                     53,                 1.2403,                 1.2333,                 1.3995,                0.48724,                    0.5,                0.42038,                0.18212,                 2.5271,                 2.5318,                 3.0791,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0437,                 1.0912,                  1.314,                0.85339,                   0.25,                0.35825,                0.17073,                 2.5769,                 2.5514,                 3.3538,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2013,                 1.2909,                 1.3725,                0.48048,                    0.5,                0.39912,                0.20307,                 2.5942,                 2.7138,                 3.3497,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2028,                 1.2195,                 1.3506,                0.48655,                    0.5,                0.38615,                0.18456,                    2.6,                 2.7184,                 3.2928,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1196,                 1.0368,                 1.3268,                0.47909,                    0.5,                0.38772,                 0.1834,                 2.4597,                 2.6623,                 3.0373,               0.000911,               0.000911,               0.000911
                     58,                 1.1252,                 1.0568,                 1.3175,                0.63761,                    0.5,                0.45564,                0.23556,                 2.1449,                 2.3696,                 2.6988,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0109,                 1.1135,                 1.3073,                0.91966,                    0.5,                0.52699,                0.29606,                 1.9574,                 2.0156,                 2.5566,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1601,                 1.1375,                 1.2807,                0.53924,                  0.625,                0.53497,                0.29324,                 1.8553,                 2.1904,                 2.3132,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.095,                 1.0236,                 1.3098,                0.44479,                  0.625,                 0.4773,                0.26952,                 2.0269,                 2.1985,                 2.4458,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0925,                 1.0428,                 1.2721,                0.59797,                   0.25,                0.25819,                0.16278,                 2.2102,                 2.4181,                  2.831,               0.000812,               0.000812,               0.000812
                     63,                 1.0809,                 1.0712,                 1.2367,                0.62523,                   0.25,                0.24208,                0.14544,                 2.2073,                 2.4644,                 2.9895,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1332,                 1.0233,                  1.339,                 0.4742,                   0.25,                0.22445,                0.12757,                 2.2575,                 2.4617,                 3.2496,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0849,                 1.1751,                 1.3307,                0.16055,                0.26386,                 0.1906,                0.12103,                 2.4304,                 2.4907,                 3.6213,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.9585,                0.97217,                 1.2396,                0.46861,                   0.25,                0.23573,                0.13083,                 2.2095,                 2.3727,                  3.062,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0708,                0.97006,                 1.2438,                0.47108,                    0.5,                0.37695,                 0.1599,                 2.1079,                 2.1493,                 2.8131,               0.000713,               0.000713,               0.000713
                     68,                 0.9709,                0.95401,                 1.2667,                0.69359,                  0.625,                0.60316,                0.17705,                 1.9917,                  1.894,                 2.6991,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0033,                 1.0031,                 1.2665,                0.53904,                    0.5,                 0.3724,                0.17626,                 2.0222,                  1.911,                  2.714,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0064,                0.96657,                 1.2052,                0.48426,                0.47246,                0.40318,                0.19144,                 2.0109,                 2.0261,                 2.7532,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0202,                 1.0305,                  1.224,                0.68516,                  0.375,                0.36735,                0.20516,                 1.8753,                 2.2622,                 2.5998,              0.0006338,              0.0006338,              0.0006338
