                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1913,                 2.3019,                 1.2452,                 1.2075,                0.50685,                    0.5,                0.57461,                0.42259,                0.50685,                    0.5,                0.53175,                0.34396,                  1.406,                 2.8278,                  3.436,                 1.8693,               0.001307,               0.001307,               0.001307
                     38,                 1.2008,                 2.0989,                 1.1658,                 1.2213,                0.41737,                    0.5,                0.36402,                0.25948,                0.41737,                    0.5,                0.33829,                0.19651,                 1.6337,                 3.1556,                 3.5377,                 2.1227,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1218,                  1.943,                  1.111,                 1.2091,                0.30969,                0.66667,                0.41749,                0.31399,                0.46685,                0.33333,                0.38363,                0.19648,                 1.6455,                 2.9952,                 3.5102,                 2.0402,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0671,                 1.9646,                 1.1219,                 1.1132,                0.37276,                    0.5,                0.52375,                 0.3753,                0.65346,                0.33333,                0.50108,                0.24162,                 1.3893,                 2.7058,                 2.7841,                 1.7249,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0594,                 1.7869,                0.99087,                 1.1165,                0.56902,                    0.5,                0.57994,                0.43192,                0.56902,                    0.5,                 0.5749,                0.28026,                 1.3194,                 2.5835,                 2.4171,                 1.8028,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0558,                 1.9985,                 1.0041,                 1.1305,                  0.459,                0.66667,                0.56566,                 0.3755,                0.40753,                0.66667,                0.50795,                0.32779,                 1.4185,                  2.697,                 2.2105,                 1.7426,               0.001208,               0.001208,               0.001208
                     43,                 1.0891,                  1.952,                 1.2446,                 1.1811,                0.35484,                0.66667,                0.44581,                0.28226,                0.60498,                0.33333,                0.38452,                0.25772,                 1.3058,                 2.8732,                 2.2381,                 1.4447,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0756,                 2.1769,                 1.0519,                 1.1795,                0.58569,                    0.5,                0.48165,                0.24355,                0.38996,                0.33333,                0.27646,                0.13852,                 1.4512,                  3.262,                 2.3188,                 1.6284,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0949,                 2.0411,                  1.064,                 1.1595,                0.67621,                    0.5,                0.45953,                0.20768,                 0.4143,                0.33333,                  0.211,                0.10854,                 1.7284,                 3.7859,                 2.9675,                 2.1276,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0481,                 2.0128,                 1.0621,                 1.1561,                0.54076,                    0.5,                0.48242,                 0.1565,                0.54076,                    0.5,                0.45057,                0.16029,                 2.0224,                 4.0873,                 3.1143,                 2.6232,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1099,                 1.9525,                 1.0522,                 1.1537,                0.48943,                0.33333,                0.27805,                0.19089,                0.74287,                    0.5,                0.50591,                0.19509,                 1.9855,                 3.7485,                 3.0424,                 2.6383,               0.001109,               0.001109,               0.001109
